Date,Ticker,Open,High,Low,Close,Volume,Openint,Close_Percent_Change,Period_Change
3/15/1982,AAPL,0.270089286,0.272321429,0.270089286,0.270089286,1027264,,-0.008196721,-0.002232143
3/16/1982,AAPL,0.265625,0.267857143,0.265625,0.265625,943040,,-0.016528926,-0.004464286
3/17/1982,AAPL,0.252232143,0.254464286,0.252232143,0.252232143,1009792,,-0.050420168,-0.013392857
3/18/1982,AAPL,0.272321429,0.274553571,0.272321429,0.272321429,1126720,,0.079646018,0.020089286
3/19/1982,AAPL,0.296875,0.299107143,0.296875,0.296875,1316224,,0.090163934,0.024553571
3/22/1982,AAPL,0.319196429,0.321428571,0.319196429,0.319196429,1383872,,0.07518797,0.022321429
3/23/1982,AAPL,0.314732143,0.316964286,0.314732143,0.314732143,1119104,,-0.013986014,-0.004464286
3/24/1982,AAPL,0.296875,0.299107143,0.296875,0.296875,1032192,,-0.056737589,-0.017857143
3/25/1982,AAPL,0.294642857,0.296875,0.294642857,0.294642857,1682240,,-0.007518797,-0.002232143
3/26/1982,AAPL,0.290178571,0.292410714,0.290178571,0.290178571,1015616,,-0.015151515,-0.004464286
3/29/1982,AAPL,0.296875,0.299107143,0.296875,0.296875,1352064,,0.023076923,0.006696429
3/30/1982,AAPL,0.301339286,0.303571429,0.301339286,0.301339286,1559040,,0.015037594,0.004464286
3/31/1982,AAPL,0.301339286,0.303571429,0.301339286,0.301339286,1003072,,0,0
4/1/1982,AAPL,0.316964286,0.319196429,0.316964286,0.316964286,1182720,,0.051851852,0.015625
4/2/1982,AAPL,0.316964286,0.319196429,0.316964286,0.316964286,1696128,,0,0
4/5/1982,AAPL,0.316964286,0.319196429,0.316964286,0.316964286,1732864,,0,0
4/6/1982,AAPL,0.314732143,0.316964286,0.314732143,0.314732143,1431808,,-0.007042254,-0.002232143
4/7/1982,AAPL,0.310267857,0.3125,0.310267857,0.310267857,581952,,-0.014184397,-0.004464286
4/8/1982,AAPL,0.3125,0.314732143,0.3125,0.3125,479808,,0.007194245,0.002232143
4/12/1982,AAPL,0.310267857,0.314732143,0.310267857,0.310267857,886144,,-0.007142857,-0.002232143
4/13/1982,AAPL,0.285714286,0.287946429,0.285714286,0.285714286,1705984,,-0.079136691,-0.024553571
4/14/1982,AAPL,0.287946429,0.290178571,0.287946429,0.287946429,2271808,,0.0078125,0.002232143
4/15/1982,AAPL,0.292410714,0.294642857,0.292410714,0.292410714,3285632,,0.015503876,0.004464286
4/16/1982,AAPL,0.301339286,0.303571429,0.301339286,0.301339286,2080960,,0.030534351,0.008928571
4/19/1982,AAPL,0.294642857,0.299107143,0.294642857,0.294642857,825664,,-0.022222222,-0.006696429
4/20/1982,AAPL,0.28125,0.283482143,0.28125,0.28125,1611008,,-0.045454545,-0.013392857
4/21/1982,AAPL,0.279017857,0.28125,0.279017857,0.279017857,1460480,,-0.007936508,-0.002232143
4/22/1982,AAPL,0.274553571,0.276785714,0.274553571,0.274553571,1051904,,-0.016,-0.004464286
4/23/1982,AAPL,0.274553571,0.276785714,0.274553571,0.274553571,965888,,0,0
4/26/1982,AAPL,0.28125,0.283482143,0.28125,0.28125,1158528,,0.024390244,0.006696429
4/27/1982,AAPL,0.272321429,0.274553571,0.272321429,0.272321429,1405376,,-0.031746032,-0.008928571
4/28/1982,AAPL,0.261160714,0.263392857,0.261160714,0.261160714,1984640,,-0.040983607,-0.011160714
4/29/1982,AAPL,0.261160714,0.263392857,0.261160714,0.261160714,1644608,,0,0
4/30/1982,AAPL,0.263392857,0.265625,0.263392857,0.263392857,5548032,,0.008547009,0.002232143
5/3/1982,AAPL,0.272321429,0.274553571,0.272321429,0.272321429,1654016,,0.033898305,0.008928571
5/4/1982,AAPL,0.28125,0.283482143,0.28125,0.28125,1479744,,0.032786885,0.008928571
